11:24:16 067	INFO:check start
11:24:16 067	INFO:Writing sector 00008432 ~ 00008439 ... 
11:24:16 083	INFO:Reading sector 00008432 ~ 00008439 ... 
11:24:16 083	INFO:check start
11:24:16 083	INFO:Writeing the 4th ID Block，Pos：00012288(SEC)
11:24:16 083	INFO:Writing sector 00012288 ~ 00012303 ... 
11:24:16 083	INFO:Reading sector 00012288 ~ 00012303 ... 
11:24:16 083	INFO:check start
11:24:16 083	INFO:Writing sector 00012304 ~ 00012319 ... 
11:24:16 098	INFO:Reading sector 00012304 ~ 00012319 ... 
11:24:16 098	INFO:check start
11:24:16 098	INFO:Writing sector 00012320 ~ 00012335 ... 
11:24:16 098	INFO:Reading sector 00012320 ~ 00012335 ... 
11:24:16 098	INFO:check start
11:24:16 098	INFO:Writing sector 00012336 ~ 00012351 ... 
11:24:16 114	INFO:Reading sector 00012336 ~ 00012351 ... 
11:24:16 114	INFO:check start
11:24:16 114	INFO:Writing sector 00012352 ~ 00012367 ... 
11:24:16 114	INFO:Reading sector 00012352 ~ 00012367 ... 
11:24:16 114	INFO:check start
11:24:16 114	INFO:Writing sector 00012368 ~ 00012383 ... 
11:24:16 129	INFO:Reading sector 00012368 ~ 00012383 ... 
11:24:16 129	INFO:check start
11:24:16 129	INFO:Writing sector 00012384 ~ 00012399 ... 
11:24:16 129	INFO:Reading sector 00012384 ~ 00012399 ... 
11:24:16 129	INFO:check start
11:24:16 129	INFO:Writing sector 00012400 ~ 00012415 ... 
11:24:16 145	INFO:Reading sector 00012400 ~ 00012415 ... 
11:24:16 145	INFO:check start
11:24:16 145	INFO:Writing sector 00012416 ~ 00012431 ... 
11:24:16 145	INFO:Reading sector 00012416 ~ 00012431 ... 
11:24:16 145	INFO:check start
11:24:16 145	INFO:Writing sector 00012432 ~ 00012447 ... 
11:24:16 161	INFO:Reading sector 00012432 ~ 00012447 ... 
11:24:16 161	INFO:check start
11:24:16 161	INFO:Writing sector 00012448 ~ 00012463 ... 
11:24:16 161	INFO:Reading sector 00012448 ~ 00012463 ... 
11:24:16 161	INFO:check start
11:24:16 161	INFO:Writing sector 00012464 ~ 00012479 ... 
11:24:16 176	INFO:Reading sector 00012464 ~ 00012479 ... 
11:24:16 176	INFO:check start
11:24:16 176	INFO:Writing sector 00012480 ~ 00012495 ... 
11:24:16 176	INFO:Reading sector 00012480 ~ 00012495 ... 
11:24:16 176	INFO:check start
11:24:16 176	INFO:Writing sector 00012496 ~ 00012511 ... 
11:24:16 192	INFO:Reading sector 00012496 ~ 00012511 ... 
11:24:16 192	INFO:check start
11:24:16 192	INFO:Writing sector 00012512 ~ 00012527 ... 
11:24:16 192	INFO:Reading sector 00012512 ~ 00012527 ... 
11:24:16 192	INFO:check start
11:24:16 192	INFO:Writing sector 00012528 ~ 00012535 ... 
11:24:16 208	INFO:Reading sector 00012528 ~ 00012535 ... 
11:24:16 208	INFO:check start
11:24:16 208	INFO:Writeing the 5th ID Block，Pos：00016384(SEC)
11:24:16 208	INFO:Writing sector 00016384 ~ 00016399 ... 
11:24:16 208	INFO:Reading sector 00016384 ~ 00016399 ... 
11:24:16 208	INFO:check start
11:24:16 208	INFO:Writing sector 00016400 ~ 00016415 ... 
11:24:16 223	INFO:Reading sector 00016400 ~ 00016415 ... 
11:24:16 223	INFO:check start
11:24:16 223	INFO:Writing sector 00016416 ~ 00016431 ... 
11:24:16 223	INFO:Reading sector 00016416 ~ 00016431 ... 
11:24:16 223	INFO:check start
11:24:16 223	INFO:Writing sector 00016432 ~ 00016447 ... 
11:24:16 239	INFO:Reading sector 00016432 ~ 00016447 ... 
11:24:16 239	INFO:check start
11:24:16 239	INFO:Writing sector 00016448 ~ 00016463 ... 
11:24:16 239	INFO:Reading sector 00016448 ~ 00016463 ... 
11:24:16 239	INFO:check start
11:24:16 239	INFO:Writing sector 00016464 ~ 00016479 ... 
11:24:16 255	INFO:Reading sector 00016464 ~ 00016479 ... 
11:24:16 255	INFO:check start
11:24:16 255	INFO:Writing sector 00016480 ~ 00016495 ... 
11:24:16 255	INFO:Reading sector 00016480 ~ 00016495 ... 
11:24:16 255	INFO:check start
11:24:16 255	INFO:Writing sector 00016496 ~ 00016511 ... 
11:24:16 270	INFO:Reading sector 00016496 ~ 00016511 ... 
11:24:16 270	INFO:check start
11:24:16 270	INFO:Writing sector 00016512 ~ 00016527 ... 
11:24:16 270	INFO:Reading sector 00016512 ~ 00016527 ... 
11:24:16 270	INFO:check start
11:24:16 270	INFO:Writing sector 00016528 ~ 00016543 ... 
11:24:16 286	INFO:Reading sector 00016528 ~ 00016543 ... 
11:24:16 286	INFO:check start
11:24:16 286	INFO:Writing sector 00016544 ~ 00016559 ... 
11:24:16 286	INFO:Reading sector 00016544 ~ 00016559 ... 
11:24:16 286	INFO:check start
11:24:16 286	INFO:Writing sector 00016560 ~ 00016575 ... 
11:24:16 301	INFO:Reading sector 00016560 ~ 00016575 ... 
11:24:16 301	INFO:check start
11:24:16 301	INFO:Writing sector 00016576 ~ 00016591 ... 
11:24:16 301	INFO:Reading sector 00016576 ~ 00016591 ... 
11:24:16 301	INFO:check start
11:24:16 301	INFO:Writing sector 00016592 ~ 00016607 ... 
11:24:16 317	INFO:Reading sector 00016592 ~ 00016607 ... 
11:24:16 317	INFO:check start
11:24:16 317	INFO:Writing sector 00016608 ~ 00016623 ... 
11:24:16 317	INFO:Reading sector 00016608 ~ 00016623 ... 
11:24:16 317	INFO:check start
11:24:16 317	INFO:Writing sector 00016624 ~ 00016631 ... 
11:24:16 333	INFO:Reading sector 00016624 ~ 00016631 ... 
