14:33:36 203	Load Setting ok
19:39:16 505	INFO:check start
19:39:16 506	INFO:Writeing the 2th ID Block，Pos：00004096(SEC)
19:39:16 507	INFO:Writing sector 00004096 ~ 00004111 ... 
19:39:16 511	INFO:Reading sector 00004096 ~ 00004111 ... 
19:39:16 513	INFO:check start
19:39:16 513	INFO:Writing sector 00004112 ~ 00004127 ... 
19:39:16 517	INFO:Reading sector 00004112 ~ 00004127 ... 
19:39:16 519	INFO:check start
19:39:16 519	INFO:Writing sector 00004128 ~ 00004143 ... 
19:39:16 524	INFO:Reading sector 00004128 ~ 00004143 ... 
19:39:16 525	INFO:check start
19:39:16 526	INFO:Writing sector 00004144 ~ 00004159 ... 
19:39:16 530	INFO:Reading sector 00004144 ~ 00004159 ... 
19:39:16 532	INFO:check start
19:39:16 532	INFO:Writing sector 00004160 ~ 00004175 ... 
19:39:16 536	INFO:Reading sector 00004160 ~ 00004175 ... 
19:39:16 538	INFO:check start
19:39:16 538	INFO:Writing sector 00004176 ~ 00004191 ... 
19:39:16 543	INFO:Reading sector 00004176 ~ 00004191 ... 
19:39:16 544	INFO:check start
19:39:16 545	INFO:Writing sector 00004192 ~ 00004207 ... 
19:39:16 549	INFO:Reading sector 00004192 ~ 00004207 ... 
19:39:16 551	INFO:check start
19:39:16 551	INFO:Writing sector 00004208 ~ 00004223 ... 
19:39:16 555	INFO:Reading sector 00004208 ~ 00004223 ... 
19:39:16 557	INFO:check start
19:39:16 557	INFO:Writing sector 00004224 ~ 00004239 ... 
19:39:16 561	INFO:Reading sector 00004224 ~ 00004239 ... 
19:39:16 563	INFO:check start
19:39:16 563	INFO:Writing sector 00004240 ~ 00004255 ... 
19:39:16 568	INFO:Reading sector 00004240 ~ 00004255 ... 
19:39:16 570	INFO:check start
19:39:16 570	INFO:Writing sector 00004256 ~ 00004271 ... 
19:39:16 574	INFO:Reading sector 00004256 ~ 00004271 ... 
19:39:16 576	INFO:check start
19:39:16 576	INFO:Writing sector 00004272 ~ 00004287 ... 
19:39:16 581	INFO:Reading sector 00004272 ~ 00004287 ... 
19:39:16 582	INFO:check start
19:39:16 582	INFO:Writing sector 00004288 ~ 00004303 ... 
19:39:16 587	INFO:Reading sector 00004288 ~ 00004303 ... 
19:39:16 588	INFO:check start
19:39:16 589	INFO:Writing sector 00004304 ~ 00004319 ... 
19:39:16 593	INFO:Reading sector 00004304 ~ 00004319 ... 
19:39:16 595	INFO:check start
19:39:16 595	INFO:Writing sector 00004320 ~ 00004335 ... 
19:39:16 600	INFO:Reading sector 00004320 ~ 00004335 ... 
19:39:16 601	INFO:check start
19:39:16 601	INFO:Writing sector 00004336 ~ 00004343 ... 
19:39:16 604	INFO:Reading sector 00004336 ~ 00004343 ... 
19:39:16 605	INFO:check start
19:39:16 607	INFO:Writeing the 3th ID Block，Pos：00008192(SEC)
19:39:16 607	INFO:Writing sector 00008192 ~ 00008207 ... 
19:39:16 612	INFO:Reading sector 00008192 ~ 00008207 ... 
19:39:16 613	INFO:check start
19:39:16 613	INFO:Writing sector 00008208 ~ 00008223 ... 
19:39:16 618	INFO:Reading sector 00008208 ~ 00008223 ... 
19:39:16 619	INFO:check start
19:39:16 620	INFO:Writing sector 00008224 ~ 00008239 ... 
19:39:16 624	INFO:Reading sector 00008224 ~ 00008239 ... 
19:39:16 626	INFO:check start
19:39:16 626	INFO:Writing sector 00008240 ~ 00008255 ... 
19:39:16 630	INFO:Reading sector 00008240 ~ 00008255 ... 
19:39:16 632	INFO:check start
19:39:16 632	INFO:Writing sector 00008256 ~ 00008271 ... 
19:39:16 636	INFO:Reading sector 00008256 ~ 00008271 ... 
19:39:16 638	INFO:check start
19:39:16 638	INFO:Writing sector 00008272 ~ 00008287 ... 
19:39:16 642	INFO:Reading sector 00008272 ~ 00008287 ... 
19:39:16 644	INFO:check start
19:39:16 645	INFO:Writing sector 00008288 ~ 00008303 ... 
19:39:16 649	INFO:Reading sector 00008288 ~ 00008303 ... 
19:39:16 651	INFO:check start
19:39:16 651	INFO:Writing sector 00008304 ~ 00008319 ... 
19:39:16 655	INFO:Reading sector 00008304 ~ 00008319 ... 
19:39:16 657	INFO:check start
19:39:16 657	INFO:Writing sector 00008320 ~ 00008335 ... 
19:39:16 661	INFO:Reading sector 00008320 ~ 00008335 ... 
19:39:16 663	INFO:check start
19:39:16 663	INFO:Writing sector 00008336 ~ 00008351 ... 
19:39:16 667	INFO:Reading sector 00008336 ~ 00008351 ... 
19:39:16 669	INFO:check start
19:39:16 669	INFO:Writing sector 00008352 ~ 00008367 ... 
19:39:16 674	INFO:Reading sector 00008352 ~ 00008367 ... 
19:39:16 675	INFO:check start
19:39:16 676	INFO:Writing sector 00008368 ~ 00008383 ... 
19:39:16 680	INFO:Reading sector 00008368 ~ 00008383 ... 
19:39:16 681	INFO:check start
19:39:16 682	INFO:Writing sector 00008384 ~ 00008399 ... 
19:39:16 686	INFO:Reading sector 00008384 ~ 00008399 ... 
19:39:16 688	INFO:check start
19:39:16 688	INFO:Writing sector 00008400 ~ 00008415 ... 
19:39:16 692	INFO:Reading sector 00008400 ~ 00008415 ... 
19:39:16 694	INFO:check start
19:39:16 694	INFO:Writing sector 00008416 ~ 00008431 ... 
19:39:16 698	INFO:Reading sector 00008416 ~ 00008431 ... 
19:39:16 700	INFO:check start
19:39:16 700	INFO:Writing sector 00008432 ~ 00008439 ... 
19:39:16 703	INFO:Reading sector 00008432 ~ 00008439 ... 
19:39:16 704	INFO:check start
19:39:16 706	INFO:Writeing the 4th ID Block，Pos：00012288(SEC)
19:39:16 706	INFO:Writing sector 00012288 ~ 00012303 ... 
19:39:16 710	INFO:Reading sector 00012288 ~ 00012303 ... 
19:39:16 712	INFO:check start
19:39:16 712	INFO:Writing sector 00012304 ~ 00012319 ... 
19:39:16 716	INFO:Reading sector 00012304 ~ 00012319 ... 
19:39:16 718	INFO:check start
19:39:16 718	INFO:Writing sector 00012320 ~ 00012335 ... 
19:39:16 723	INFO:Reading sector 00012320 ~ 00012335 ... 
19:39:16 725	INFO:check start
